Group,Item,Comp,ObjectPr,SCPr,Bias,Sentence,word1,word2,word3,word4,wait1,wait2,wait3,wait4,Notes
B,45,Null,0.83,0.04,Object,The teacher repeated the class should be finished by Friday. *****,spince,inmoft,,,2000,2000,50,50,
B,46,That,0.58,0.35,Object,The attorney general revealed that the state was cracking down on drunken driving. *****,olbits,teploy,gouma,,2000,2000,2000,50,
A,46,Null,0.58,0.35,Object,The attorney general revealed the state was cracking down on drunken driving. *****,olbits,teploy,gouma,,2000,2000,2000,50,
A,47,That,0.48,0.37,Object,The tourists understood that the snow would mean a late start. *****,thosen,foimle,tualms,guala,2000,2000,2000,2000,
B,47,Null,0.48,0.37,Object,The tourists understood the snow would mean a late start. *****,thosen,foimle,tualms,guala,2000,2000,2000,2000,
B,48,That,0.1,0.51,SC,The referees warned that the game would probably be canceled. *****,beords,godry,,,2000,2000,50,50,
A,48,Null,0.1,0.51,SC,The referees warned the game would probably be canceled. *****,beords,godry,,,2000,2000,50,50,
A,49,That,0.46,0.09,Object,The critic wrote that the painting had been a clever forgery. *****,ettail,grocus,lancos,,2000,2000,2000,50,
B,49,Null,0.46,0.09,Object,The critic wrote the painting had been a clever forgery. *****,ettail,grocus,lancos,,2000,2000,2000,50,
B,50,That,0.25,0.58,SC,The customer asserted that the salesman should be fired for lying. *****,talate,melves,slaxen,gatrix,2000,2000,2000,2000,
A,50,Null,0.25,0.58,SC,The customer asserted the salesman should be fired for lying. *****,talate,melves,slaxen,gatrix,2000,2000,2000,2000,
A,51,That,0.32,0.39,SC,The student learned that the invention could change the world. *****,ectrap,esil,,,2000,2000,50,50,"Slightly modified, added ""precise"" at the end as the original made little sense"
B,51,Null,0.32,0.39,SC,The student learned the invention could change the world. *****,ectrap,esil,,,2000,2000,50,50,"Slightly modified, added ""precise"" at the end as the original made little sense"
B,52,That,0.1,0.51,SC,The residents warned that the noise had kept disturbing them. *****,melae,gnoop,defroy,,2000,2000,2000,50,"Slighty modified, added ""them"" after ""disturbed"" as the original made little sense"
A,52,Null,0.1,0.51,SC,The residents warned the noise had kept disturbing them. *****,melae,gnoop,defroy,,2000,2000,2000,50,"Slighty modified, added ""them"" after ""disturbed"" as the original made little sense"
A,53,That,0.94,0.03,Object,The basketball star accepted that the managers would have to be strict. *****,doap,platad,,,2000,2000,2000,2000,
B,53,Null,0.94,0.03,Object,The basketball star accepted the managers would have to be strict. *****,doap,platad,,,2000,2000,2000,2000,
B,54,That,0.44,0.09,Object,The veterinarian advised that the horse should be prevented from running. *****,seoted,blanth,spigat,,2000,2000,50,50,
A,54,Null,0.44,0.09,Object,The veterinarian advised the horse should be prevented from running. *****,seoted,blanth,spigat,,2000,2000,50,50,
A,55,That,0.8,0.07,Object,The mayor advocated that the disaster could be avoided. *****,nitrid,brisis,criled,gevied,2000,2000,2000,50,
B,55,Null,0.8,0.07,Object,The mayor advocated the disaster could be avoided. *****,nitrid,brisis,criled,gevied,2000,2000,2000,50,
B,56,That,0.58,0.36,Object,The coast guard confirmed that the sailor could not have been rescued. *****,lertz,estomb,,,2000,2000,2000,2000,
A,56,Null,0.58,0.36,Object,The coast guard confirmed the sailor could not have been rescued. *****,lertz,estomb,,,2000,2000,2000,2000,
A,57,That,0.46,0.4,Object,The explorers discovered that the thunder had caused an avalanche. *****,extarn,treast,labok,,2000,2000,50,50,
B,57,Null,0.46,0.4,Object,The explorers discovered the thunder had caused an avalanche. *****,extarn,treast,labok,,2000,2000,50,50,
B,58,That,0.42,0.16,Object,The forecaster forgot that the sky would be cloudy and gray. *****,fomcat,noblin,argst,drugal,2000,2000,2000,50,
A,58,Null,0.42,0.16,Object,The forecaster forgot the sky would be cloudy and gray. *****,fomcat,noblin,argst,drugal,2000,2000,2000,50,
A,59,That,0.71,0.26,Object,The caretaker maintained that the season was causing his allergies. *****,finped,digots,,,2000,2000,2000,2000,
B,59,Null,0.71,0.26,Object,The caretaker maintained the season was causing his allergies. *****,finped,digots,,,2000,2000,2000,2000,
B,60,That,0.94,0,Object,The publisher printed that the singer had not been accurately quoted. *****,albafy,dorst,admai,,2000,2000,50,50,
A,60,Null,0.94,0,Object,The publisher printed the singer had not been accurately quoted. *****,albafy,dorst,admai,,2000,2000,50,50,
A,61,That,0.58,0.35,Object,The company revealed that the river had been contaminated. *****,podiac,cloop,fudely,supal,2000,2000,2000,50,
B,61,Null,0.58,0.35,Object,The company revealed the river had been contaminated. *****,podiac,cloop,fudely,supal,2000,2000,2000,50,
B,62,That,0.48,0.37,Object,The tourist understood that the lake was a popular destination. *****,mutank,felpas,,,2000,2000,2000,2000,
A,62,Null,0.48,0.37,Object,The tourist understood the lake was a popular destination. *****,mutank,felpas,,,2000,2000,2000,2000,
A,63,That,0.46,0.09,Object,The novelist wrote that the ring would change the story's plot. *****,plore,splack,annure,,2000,2000,50,50,
B,63,Null,0.46,0.09,Object,The novelist wrote the ring would change the story's plot. *****,plore,splack,annure,,2000,2000,50,50,
B,64,That,0.83,0.04,Object,The thief repeated that the money was hidden in the safehouse. *****,poaxed,minly,tweal,umarm,2000,2000,2000,50,Modified to avoid being violent
A,64,Null,0.83,0.04,Object,The thief repeated the money was hidden in the safehouse. *****,poaxed,minly,tweal,umarm,2000,2000,2000,50,Modified to avoid being violent
